State,Postcode,Individuals,MedianIncome,MeanIncome
NSW,2316,3021.00,36192.00,51705.00
NSW,2317,3327.00,35459.00,47765.00
NSW,2318,6488.00,43040.00,52249.00
NSW,2319,2969.00,37568.00,45829.00
NSW,2320,17155.00,44758.00,59968.00
NSW,2321,7261.00,44374.00,57414.00
NSW,2322,9420.00,44074.00,52771.00
NSW,2323,13664.00,43932.00,54092.00
NSW,2324,11638.00,38574.00,48176.00
NSW,2325,12254.00,39723.00,51564.00
NSW,2326,3240.00,39807.00,48591.00
NSW,2327,3372.00,39889.00,47286.00
NSW,2328,1367.00,41812.00,53537.00
NSW,2329,1041.00,34859.00,45167.00
NSW,2330,11467.00,49099.00,69191.00
NSW,2333,6976.00,48975.00,65689.00
NSW,2334,1357.00,45195.00,58004.00
NSW,2335,3255.00,47822.00,62978.00
NSW,2336,1446.00,43898.00,58791.00
NSW,2337,4549.00,40861.00,111407.00
NSW,2338,678.00,33664.00,43584.00
NSW,2339,399.00,31268.00,34727.00
NSW,2340,26616.00,39596.00,46318.00
NSW,2341,623.00,32975.00,42324.00
NSW,2342,285.00,30987.00,36009.00
NSW,2343,2645.00,34658.00,39942.00
NSW,2344,422.00,35978.00,40723.00
NSW,2345,452.00,35203.00,40109.00
NSW,2346,1409.00,33708.00,38368.00
NSW,2347,843.00,28727.00,31235.00
NSW,2350,13591.00,37691.00,46948.00
NSW,2352,1404.00,39125.00,44886.00
NSW,2353,540.00,37514.00,41863.00
NSW,2354,2143.00,28863.00,32764.00
NSW,2355,290.00,28883.00,33955.00
NSW,2357,1984.00,31792.00,38480.00
NSW,2358,2070.00,32877.00,37776.00
NSW,2359,360.00,25241.00,27082.00
NSW,2360,7146.00,35433.00,39838.00
NSW,2361,377.00,22857.00,25550.00
NSW,2365,2000.00,29474.00,37097.00
NSW,2369,327.00,33524.00,36492.00
NSW,2370,3745.00,29587.00,34528.00
NSW,2371,534.00,24189.00,29464.00
NSW,2372,2477.00,28181.00,34311.00
NSW,2379,210.00,22936.00,36455.00
NSW,2380,5480.00,39719.00,50155.00
NSW,2381,608.00,37145.00,45814.00
NSW,2382,713.00,35140.00,44193.00
NSW,2386,219.00,25192.00,8428.00
NSW,2388,1496.00,37005.00,43242.00
NSW,2390,4881.00,40951.00,49819.00
NSW,2395,270.00,24118.00,27787.00
NSW,2396,414.00,30004.00,35728.00
NSW,2397,259.00,32032.00,44085.00
NSW,2399,322.00,37219.00,39675.00
NSW,2400,5626.00,41660.00,49983.00
NSW,2402,878.00,32025.00,36116.00
NSW,2403,356.00,24021.00,24368.00
NSW,2404,872.00,27680.00,24614.00
NSW,2405,311.00,36171.00,38785.00
NSW,2406,477.00,39196.00,44610.00
NSW,2408,232.00,43098.00,35690.00
NSW,2409,304.00,30291.00,55826.00
NSW,2420,2047.00,32477.00,42638.00
NSW,2421,1066.00,39472.00,51945.00
NSW,2422,2734.00,29745.00,37297.00
NSW,2423,1437.00,31568.00,38548.00
NSW,2424,203.00,22740.00,27230.00
NSW,2425,930.00,34677.00,46642.00
NSW,2426,294.00,31244.00,39659.00
NSW,2427,1165.00,30684.00,41071.00
NSW,2428,10846.00,31630.00,40806.00
NSW,2429,4691.00,32154.00,36919.00
NSW,2430,15291.00,34413.00,41577.00
NSW,2431,2297.00,31737.00,39649.00
NSW,2439,1160.00,33397.00,39740.00
NSW,2440,9439.00,33574.00,38599.00
NSW,2441,2507.00,31824.00,39737.00
NSW,2443,4023.00,31216.00,37519.00
NSW,2444,23776.00,36113.00,45835.00
NSW,2445,3362.00,35470.00,43097.00
NSW,2446,6498.00,33632.00,41395.00
NSW,2447,3435.00,31047.00,39503.00
NSW,2448,3795.00,32257.00,39735.00
NSW,2449,945.00,28749.00,34491.00
NSW,2450,22688.00,36279.00,45274.00
NSW,2452,7657.00,36598.00,42350.00
NSW,2453,1512.00,25369.00,31038.00
NSW,2454,3961.00,31748.00,41486.00
NSW,2455,1509.00,34570.00,41096.00
NSW,2456,7959.00,32693.00,40382.00
NSW,2460,13561.00,34529.00,40151.00
NSW,2462,1050.00,29027.00,35423.00
NSW,2463,3518.00,31071.00,38542.00
NSW,2464,3435.00,29770.00,38718.00
NSW,2466,655.00,27225.00,33296.00
NSW,2469,1601.00,25550.00,32219.00
NSW,2470,6959.00,35878.00,38995.00
NSW,2471,1100.00,31273.00,33237.00
NSW,2472,1029.00,32331.00,38303.00
NSW,2473,1330.00,35378.00,42369.00
NSW,2474,3099.00,29281.00,35771.00
NSW,2476,338.00,24522.00,33545.00
NSW,2477,6654.00,35184.00,42921.00
NSW,2478,15792.00,35761.00,45829.00
NSW,2479,3012.00,32568.00,51442.00
NSW,2480,23442.00,35316.00,42512.00
NSW,2481,8014.00,30156.00,45426.00
NSW,2482,3611.00,27897.00,39357.00
NSW,2483,5847.00,31433.00,41042.00
NSW,2484,9404.00,32795.00,40997.00
NSW,2485,6833.00,34560.00,42958.00
NSW,2486,15773.00,35977.00,43585.00
NSW,2487,6593.00,37872.00,52735.00
NSW,2488,1829.00,35951.00,44174.00
NSW,2489,3503.00,36152.00,46977.00
NSW,2490,387.00,36917.00,48197.00
NSW,2500,20169.00,40644.00,53801.00
NSW,2502,4741.00,36602.00,43761.00
NSW,2505,2299.00,39205.00,49199.00
NSW,2506,3318.00,39663.00,47765.00
NSW,2508,5323.00,46803.00,59917.00
NSW,2515,6731.00,48598.00,71900.00
NSW,2516,3381.00,48536.00,64271.00
NSW,2517,7182.00,45348.00,57295.00
NSW,2518,9739.00,42073.00,51969.00
NSW,2519,8943.00,41067.00,54479.00
NSW,2525,6204.00,43621.00,55755.00
NSW,2526,8715.00,42667.00,55447.00
NSW,2527,11262.00,42058.00,50946.00
NSW,2528,10781.00,38287.00,46637.00
NSW,2529,13292.00,43021.00,53598.00
NSW,2530,15911.00,41250.00,49773.00
NSW,2533,9336.00,39506.00,56003.00
NSW,2534,3179.00,39427.00,53207.00
NSW,2535,4065.00,35142.00,48046.00
NSW,2536,8747.00,33133.00,41273.00
NSW,2537,6169.00,34202.00,41869.00
NSW,2538,1244.00,32311.00,45663.00
NSW,2539,8783.00,30933.00,38996.00
NSW,2540,20416.00,35652.00,44513.00
NSW,2541,12349.00,37173.00,44689.00
NSW,2545,589.00,32192.00,39480.00
NSW,2546,4652.00,29640.00,37927.00
NSW,2548,4332.00,34316.00,42285.00
NSW,2549,2123.00,34929.00,43071.00
NSW,2550,8722.00,36097.00,44057.00
NSW,2551,1828.00,35153.00,42880.00
NSW,2556,1334.00,42413.00,56263.00
NSW,2557,3089.00,46540.00,54338.00
NSW,2558,6169.00,44260.00,48396.00
NSW,2559,833.00,35351.00,38766.00
NSW,2560,37895.00,43520.00,48869.00
NSW,2564,6348.00,40326.00,44365.00
NSW,2565,9995.00,44189.00,52209.00
NSW,2566,13554.00,43367.00,47976.00
NSW,2567,20630.00,49932.00,57117.00
NSW,2568,661.00,43554.00,56597.00
NSW,2569,838.00,45059.00,55877.00
NSW,2570,19981.00,47685.00,58040.00
NSW,2571,6308.00,47180.00,59026.00
NSW,2572,2287.00,44907.00,53500.00
NSW,2573,2505.00,42377.00,49046.00
NSW,2574,3102.00,42666.00,50180.00
NSW,2575,8199.00,38981.00,53998.00
NSW,2576,8181.00,36861.00,61289.00
NSW,2577,8327.00,37177.00,51249.00
NSW,2578,1522.00,32695.00,44819.00
NSW,2579,2076.00,36837.00,47859.00
NSW,2580,14975.00,40454.00,47867.00
NSW,2581,1194.00,42705.00,49034.00
NSW,2582,7241.00,47186.00,57083.00
NSW,2583,2477.00,32469.00,38928.00
NSW,2584,298.00,32758.00,39013.00
NSW,2586,1348.00,35306.00,39827.00
NSW,2587,1476.00,36249.00,41383.00
NSW,2588,220.00,36734.00,54780.00
NSW,2590,3675.00,37453.00,44746.00
NSW,2594,5904.00,35926.00,43431.00
NSW,2619,5864.00,67300.00,76747.00
NSW,2620,22405.00,52341.00,60712.00
NSW,2621,3770.00,56224.00,65328.00
NSW,2622,2059.00,35373.00,44068.00
NSW,2623,342.00,49171.00,52851.00
NSW,2625,209.00,32173.00,36759.00
NSW,2626,276.00,46581.00,52801.00
NSW,2627,2650.00,37547.00,47238.00
NSW,2628,992.00,35005.00,40729.00
NSW,2630,4971.00,38865.00,47395.00
NSW,2631,344.00,35930.00,45490.00
NSW,2632,1097.00,39026.00,45729.00
NSW,2633,219.00,32805.00,39933.00
NSW,2640,20109.00,41491.00,51856.00
NSW,2641,8117.00,38525.00,43360.00
NSW,2642,2862.00,38706.00,45805.00
NSW,2643,1469.00,35377.00,40590.00
NSW,2644,1382.00,35206.00,42317.00
NSW,2645,240.00,33868.00,44365.00
NSW,2646,3959.00,36864.00,44191.00
NSW,2647,1156.00,36399.00,43279.00
NSW,2648,1194.00,32304.00,39090.00
NSW,2650,31881.00,42160.00,51213.00
NSW,2651,1035.00,43989.00,47243.00
NSW,2652,2734.00,38102.00,47226.00
NSW,2653,1262.00,37646.00,43100.00
NSW,2655,769.00,38573.00,44435.00
NSW,2656,699.00,39076.00,47726.00
NSW,2658,741.00,33755.00,38215.00
NSW,2659,538.00,34860.00,39346.00
NSW,2660,834.00,34702.00,42293.00
NSW,2663,2171.00,38334.00,45012.00
NSW,2665,1246.00,32203.00,39779.00
NSW,2666,2950.00,35707.00,42713.00
NSW,2668,215.00,29673.00,42697.00
NSW,2669,980.00,35726.00,47506.00
NSW,2671,2254.00,36551.00,46928.00
NSW,2672,816.00,38810.00,48418.00
NSW,2675,967.00,38106.00,46301.00
NSW,2680,13552.00,38813.00,45195.00
NSW,2681,938.00,37422.00,46171.00
NSW,2700,2565.00,36209.00,42111.00
NSW,2701,1246.00,39981.00,47186.00
NSW,2702,375.00,38648.00,48042.00
NSW,2703,404.00,37700.00,39713.00
NSW,2705,5506.00,38448.00,43424.00
NSW,2706,619.00,41099.00,39945.00
NSW,2707,908.00,34521.00,39363.00
NSW,2710,5768.00,36459.00,41907.00
NSW,2711,1827.00,35682.00,41925.00
NSW,2712,754.00,33019.00,39501.00
NSW,2713,1582.00,33327.00,38590.00
NSW,2714,1412.00,32426.00,39459.00
NSW,2715,798.00,37070.00,45479.00
NSW,2716,696.00,34590.00,44301.00
NSW,2717,605.00,32824.00,39168.00
NSW,2720,4273.00,40479.00,49445.00
NSW,2722,1705.00,35914.00,42391.00
NSW,2727,214.00,26976.00,39317.00
NSW,2729,908.00,35207.00,43191.00
NSW,2730,799.00,35022.00,39569.00
NSW,2731,3322.00,36438.00,44430.00
NSW,2732,1024.00,31850.00,39143.00
NSW,2733,356.00,35696.00,43029.00
NSW,2736,221.00,30281.00,35927.00
NSW,2737,392.00,34837.00,34171.00
NSW,2738,801.00,38347.00,46726.00
NSW,2739,676.00,33496.00,40615.00
NSW,2745,16461.00,50170.00,59029.00
NSW,2747,20151.00,45267.00,50022.00
NSW,2748,1447.00,44486.00,58923.00
NSW,2749,9385.00,47455.00,54755.00
NSW,2750,23775.00,46042.00,53192.00
NSW,2752,2905.00,45952.00,55184.00
NSW,2753,9430.00,42447.00,52539.00
